source_file,line_number,detected_format,confidence,timestamp,ip,hostname,user,method,path,status_code,size,process,message,raw_line
app_events.json,3,json,100.0,2026-05-21T09:13:40Z,45.33.32.156,,,,/api/users,403,,,Unauthorized access attempt,"{""timestamp"": ""2026-05-21T09:13:40Z"", ""level"": ""WARNING"", ""ip"": ""45.33.32.156"", ""path"": ""/api/users"", ""status"": 403, ""message"": ""Unauthorized access attempt"", ""user_agent"": ""python-requests/2.31""}"
app_events.json,4,json,100.0,2026-05-21T09:14:02Z,192.168.1.99,,,,/api/orders,201,,,Order created,"{""timestamp"": ""2026-05-21T09:14:02Z"", ""level"": ""INFO"", ""ip"": ""192.168.1.99"", ""path"": ""/api/orders"", ""status"": 201, ""message"": ""Order created"", ""order_id"": ""ORD-88213""}"
auth.syslog,1,syslog,100.0,May 21 08:45:12,45.33.32.156,server01,,,,,,sshd,Failed password for root from 45.33.32.156 port 22 ssh2,May 21 08:45:12 server01 sshd[1842]: Failed password for root from 45.33.32.156 port 22 ssh2
auth.syslog,2,syslog,100.0,May 21 08:45:14,45.33.32.156,server01,,,,,,sshd,Failed password for root from 45.33.32.156 port 22 ssh2,May 21 08:45:14 server01 sshd[1842]: Failed password for root from 45.33.32.156 port 22 ssh2
auth.syslog,3,syslog,100.0,May 21 08:45:16,45.33.32.156,server01,,,,,,sshd,Failed password for root from 45.33.32.156 port 22 ssh2,May 21 08:45:16 server01 sshd[1842]: Failed password for root from 45.33.32.156 port 22 ssh2
auth.syslog,4,syslog,100.0,May 21 08:46:01,192.168.1.10,server01,,,,,,sshd,Accepted password for deploy from 192.168.1.10 port 22 ssh2,May 21 08:46:01 server01 sshd[1855]: Accepted password for deploy from 192.168.1.10 port 22 ssh2
auth.syslog,5,syslog,100.0,May 21 08:50:33,,server01,,,,,,CRON,(root) CMD (/usr/bin/backup.sh),May 21 08:50:33 server01 CRON[2210]: (root) CMD (/usr/bin/backup.sh)
auth.syslog,6,syslog,100.0,May 21 08:55:02,,server01,,,,,,sudo,deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx,May 21 08:55:02 server01 sudo: deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
auth.syslog,7,syslog,100.0,Feb 16 15:33:22,,app-1,,,,,,collectd,uc_insert: Value too old: name =&nbsp; i-d55fbbbe/df/df-dev-shm; value time = 1266363202; last cache update =&nbsp; 1266363202; ,Feb 16 15:33:22 app-1 collectd[1606]: uc_insert: Value too old: name =&nbsp; i-d55fbbbe/df/df-dev-shm; value time = 1266363202; last cache update =&nbsp; 1266363202; 
firewall_export.csv,2,csv,100.0,2026-05-21 10:00:01,172.16.0.5,,jane.doe,,,200,,,Login successful,"2026-05-21 10:00:01,172.16.0.5,jane.doe,200,Login successful"
firewall_export.csv,3,csv,100.0,2026-05-21 10:01:15,172.16.0.5,,jane.doe,,,200,,,Viewed dashboard,"2026-05-21 10:01:15,172.16.0.5,jane.doe,200,Viewed dashboard"
firewall_export.csv,4,csv,100.0,2026-05-21 10:03:42,203.0.113.9,,unknown,,,403,,,Blocked by firewall rule,"2026-05-21 10:03:42,203.0.113.9,unknown,403,Blocked by firewall rule"
firewall_export.csv,5,csv,100.0,2026-05-21 10:04:11,203.0.113.9,,unknown,,,403,,,Blocked by firewall rule,"2026-05-21 10:04:11,203.0.113.9,unknown,403,Blocked by firewall rule"
